region,month,NO2_umol_m2
Aurora,2024-04-01,48.53449043309458
Aurora,2024-05-01,49.95676892995013
Aurora,2024-06-01,46.51304417230403
Aurora,2024-07-01,43.74120566388704
Aurora,2024-08-01,47.065505107761844
Aurora,2024-09-01,47.38891405519508
Aurora,2024-10-01,43.735243526900554
Aurora,2024-11-01,41.40640897922789
Aurora,2024-12-01,37.434738134826404
Aurora,2025-01-01,39.6236025785702
Aurora,2025-02-01,37.84398513330592
Aurora,2025-03-01,42.9191058491193
Aurora,2025-04-01,51.128263351560875
Aurora,2025-05-01,52.83884758257411
Basilan,2018-06-01,32.89523763117345
Basilan,2018-07-01,42.80199396192306
